2025-10-24T11:15:28.469209140Z [inf]  2025-10-24 11:15:28,463 - binance_client - ERROR - Error fetching async klines for JELLYJELLYUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:28.494788711Z [inf]  2025-10-24 11:15:28,486 - binance_client - ERROR - Error fetching async klines for PROMPTUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:28.494797741Z [inf]  2025-10-24 11:15:28,487 - binance_client - ERROR - Error fetching async klines for ATHUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:28.508696127Z [inf]  2025-10-24 11:15:28,499 - binance_client - ERROR - Error fetching async klines for EPTUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:28.508701793Z [inf]  2025-10-24 11:15:28,506 - binance_client - ERROR - Error fetching async klines for DEEPUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126700345Z [inf]  2025-10-24 11:15:28,515 - binance_client - ERROR - Error fetching async klines for XCNUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126706477Z [inf]  2025-10-24 11:15:28,515 - binance_client - ERROR - Error fetching async klines for MILKUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126711821Z [inf]  2025-10-24 11:15:28,522 - binance_client - ERROR - Error fetching async klines for BANKUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126716423Z [inf]  2025-10-24 11:15:28,522 - binance_client - ERROR - Error fetching async klines for AIOTUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126720516Z [inf]  2025-10-24 11:15:28,522 - binance_client - ERROR - Error fetching async klines for FHEUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126724402Z [inf]  2025-10-24 11:15:28,525 - binance_client - ERROR - Error fetching async klines for B2USDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126733658Z [inf]  2025-10-24 11:15:28,529 - binance_client - ERROR - Error fetching async klines for ZKJUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126738279Z [inf]  2025-10-24 11:15:28,538 - binance_client - ERROR - Error fetching async klines for SKYAIUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126742284Z [inf]  2025-10-24 11:15:28,555 - binance_client - ERROR - Error fetching async klines for OBOLUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.126746670Z [inf]  2025-10-24 11:15:28,556 - binance_client - ERROR - Error fetching async klines for DOODUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.239218755Z [inf]  2025-10-24 11:15:29,235 - binance_client - ERROR - Error fetching async klines for BUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.239225242Z [inf]  2025-10-24 11:15:29,236 - binance_client - ERROR - Error fetching async klines for MERLUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.243290550Z [inf]  2025-10-24 11:15:29,237 - binance_client - ERROR - Error fetching async klines for PUFFERUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.243299608Z [inf]  2025-10-24 11:15:29,238 - binance_client - ERROR - Error fetching async klines for HYPEUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.258889569Z [inf]  2025-10-24 11:15:29,243 - binance_client - ERROR - Error fetching async klines for MYXUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.258905685Z [inf]  2025-10-24 11:15:29,243 - binance_client - ERROR - Error fetching async klines for AGTUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.258915023Z [inf]  2025-10-24 11:15:29,244 - binance_client - ERROR - Error fetching async klines for BDXNUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.258921310Z [inf]  2025-10-24 11:15:29,244 - binance_client - ERROR - Error fetching async klines for PORT3USDT: APIError(code=-1121): Invalid symbol.
